RESORT,ORDER_BY,NEXUS_ROOM_TYPE
54038,4,"WDD,MAN"
04110,3,"SK,EEJ"
04110,4,"SQQ,EEJ"
97463,4,"Q,VMO"
10269,4,"QQ,BOF"
98311,9,"SK,LJN"
92732,2,"TT,LXU"
97463,5,"SK,YYJ"
06042,6,"K,BAQ"
78534,11,"TT,KPI"
15112,3,"SK,PWZ"
05382,2,"K,NIH"
33106,10,"K,BAM"
05621,6,"WQ,BAM"
66092,3,"QQ,IFW"
15112,4,"K,CQC"
15112,5,"QQ,CQC"
62111,5,"SK,TYV"
44603,4,"SQQ,MFN"
66092,2,"K,WSP"
98323,4,"TT,XBH"
98323,5,"K,XBI"
98150,7,"K,JDU"
50144,3,"K,LVF"
97236,1,"Q,EIR"
99312,3,"K,RBM"
73117,3,"D,LMQ"
22061,10,"QQ,IJU"
99312,4,"K,RCX"
62027,6,"DD,WFG"
93556,1,"D,GVR"
93556,5,"D,GVV"
39129,3,"SKQ,GKU"
66125,6,"K,EBN"
21061,7,"SDD,HPM"
56013,1,"T,CQO"
56013,3,"TT,CQO"
93557,5,"TT,LMU"
93634,1,"D,GIU"
56013,2,"Q,CQO"
93634,3,"TT,PLL"
05565,5,"SK,EJB"
77108,1,"K,BTJ"
93557,6,"K,LNV"
55046,4,"K,YMT"
32108,4,"SK,LDX"
93541,4,"TT,LOC"
77108,2,"Q,BTJ"
32108,5,"QQ,DUD"
98338,3,"TT,MAY"
77108,4,"TT,OFI"
98379,2,"Q,RNB"
98379,4,"K,OCD"
56102,4,"T,SNN"
56102,5,"D,NML"
56102,6,"D,UUE"
10222,3,"SQQ,BSV"
98282,4,"QT,CSX"
10406,9,"WSK,IBG"
98254,5,"KT,CSX"
93840,6,"SK,GAK"
88180,2,"D,TLM"
83496,4,"K,GLO"
97261,3,"QT,WXF"
43166,2,"SQQ,WYJ"
89144,3,"DT,MKR"
90543,7,"QT,BCT"
93576,3,"TT,EEY"
93576,6,"Q,YXZ"
93576,7,"SK,YXV"
70620,3,"DD,NSZ"
98286,2,"K,SFK"
98286,3,"D,SFS"
35039,6,"SQQ,RAK"
98133,3,"TT,CSX"
98133,5,"TT,TPO"
97454,3,"K,UTM"
05662,6,"SK,JFI"
05662,7,"SK,JFR"
05662,8,"SK,JZB"
05662,5,"SK,KBD"
05662,4,"SK,OWP"
36169,1,"SK,UXU"
36169,4,"WSK,OCI"
95485,5,"SD,YOU"
05691,6,"QQ,ZPX"
44725,9,"K,LKC"
44725,12,"WSK,GUJ"
05243,9,"QQ,HBL"
48185,2,"QQ,UKA"
44725,6,"SK,XZL"
48185,1,"K,UKA"
48185,7,"WK,ZKR"
70281,1,"K,JWQ"
64008,1,"QQ,ICI"
64008,5,"SK,IFW"
13057,3,"K,GME"
13057,8,"SK,QAG"
48180,8,"WS2,OCI"
56013,4,"K,GUO"
50137,6,"Q,BJP"
23127,2,"K,CQC"
56013,5,"Q,GHE"
43172,7,"WK,BJP"
93827,4,"Q,ALZ"
93827,5,"Q,ADY"
93827,6,"K,ALZ"
19083,4,"QQ,HCG"
56102,11,"SD,NPQ"
19083,2,"QQ,HCM"
93827,7,"Q,DEP"
06167,10,"SK,BPW"
56104,2,"TT,SNN"
75419,1,"D,APS"
75419,2,"Q,AGK"
03158,2,"K,DRQ"
31068,3,"SK,BBN"
03158,5,"K,BAM"
92613,3,"TT,YVF"
46015,1,"K,ZZY"
31068,2,"QQ,BBM"
14172,5,"QQ,OYA"
92613,2,"T,YVG"
95383,4,"D,EWZ"
83383,2,"DD,SNN"
62102,5,"SQQ,BJE"
93498,3,"K,FAQ"
71023,8,"K,BAQ"
97158,3,"QT,YYZ"
84226,4,"D,AWN"
83695,5,"DTT,FYN"
84226,6,"K,WNU"
44392,8,"QQ,KQN"
28074,1,"K,GNC"
90709,1,"Q,DGG"
50144,2,"QQ,DRQ"
28074,8,"QQ,BAM"
66055,3,"K,XST"
11205,1,"DD,UBM"
84232,2,"D,NML"
83673,6,"TT,NXE"
98166,7,"QT,FHU"
76803,5,"TT,GRY"
99516,6,"SK,HUA"
98124,3,"TT,LLW"
01094,4,"K,YWZ"
84232,3,"D,NXE"
56101,1,"D,NXE"
56101,3,"D,NPB"
98161,3,"TT,EMW"
93742,2,"TT,XYU"
50116,6,"K,SJQ"
14208,1,"QQ,FBN"
14208,10,"WK,CQC"
83925,2,"DT,QBF"
88145,2,"TT,JKQ"
33156,8,"SK,OCI"
37112,5,"SK,HMU"
05219,8,"K,TOV"
10150,4,"K,SHC"
10150,7,"DD,BJP"
05291,2,"DD,HCR"
11045,5,"QQ,AJP"
43159,2,"K,QVK"
37130,5,"SK,CXI"
14201,2,"DD,QDK"
43159,4,"Q,JNC"
43159,6,"Q,JNE"
37130,6,"SK,FZK"
52021,3,"SQQ,VCI"
83496,3,"D,WNR"
97261,1,"Q,WXF"
97261,2,"Q,WXT"
78658,2,"TT,CVU"
78658,4,"TT,EHL"
89143,3,"DT,LFO"
71023,5,"Q,QSG"
99811,2,"D,OLE"
05710,5,"K,CQC"
95362,1,"D,LAI"
99811,4,"D,EKN"
99811,5,"Q,NAV"
66094,5,"K,YTH"
88145,5,"TT,TQN"
93255,3,"Q,MMS"
61081,7,"WQQ,BAM"
51054,7,"Q,NTI"
15108,4,"K,IXQ"
44634,4,"SK,LWM"
44634,13,"SK,UFU"
44634,12,"SK,LWX"
61040,7,"K,SYS"
61040,10,"Q,SYT"
61040,11,"QQ,SYT"
47135,5,"QQ,AYI"
48173,13,"QQ,CBD"
83857,3,"K,NPB"
18099,8,"SK,GUJ"
41088,3,"K,OPZ"
41088,5,"WK,BJP"
98346,5,"K,EHN"
54053,7,"WQQ,BAM"
10280,4,"K,IZR"
34179,5,"K,CQC"
44576,2,"QQ,EJW"
15100,3,"DD,ZMU"
98289,6,"K,FEC"
44715,2,"K,VLP"
81025,2,"T,JQJ"
66113,11,"SK,YZB"
95123,3,"D,WTR"
95123,4,"Q,UYQ"
05566,6,"KK,AGS"
05571,4,"SK,IHD"
05571,5,"K,UWL"
05571,3,"DD,UWI"
31049,2,"Q,HRF"
05225,6,"SK,TCE"
93375,8,"Q,WOL"
98212,6,"KTT,DUX"
96093,6,"D,WVS"
89145,84,"D,CSW"
83875,10,"D,XYU"
78523,10,"TT,FPR"
95271,3,"STT,LXM"
14172,1,"K,HRF"
61095,3,"QQ,QBH"
44647,6,"SK,JKX"
50141,9,"SQQ,HOZ"
47144,10,"K,DYS"
